Supplier Code,Product ID #,Product Name,Product Description,Imprint Size,Color Name,Color Value,Inventory Level,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code
zingmfg,02002-01,Affinity Ballpoint Pen,"Getting your brand in front of customers is simple with this promotional writing
tool! The Affinity Ballpoint Pen is constructed of brass and features a
twist-action mechanism with matte color upper barrel and shiny chrome lower
barrel. This pen is mid-weight which feels great in your hands. We offer an
optional upgrade to our signature Triangle Gift box, for holiday or appreciation
gifts. Use our customization methods and add a brand name, logo or marketing
message. Reach potential clients far and wide the next time you give this
product away at your next event! Additional decoration charges may apply.
Additional decoration charges may apply.",,,,,12,49,5.18,,50,99,3.76,,100,249,3.59,,250,500,3.4,
zingmfg,02005-01,Stiletto Ballpoint Pen,"Invest in this pen """"write"""" now! The Stiletto Ballpoint Pen is constructed of
solid brass and features a twist action mechanism and diamond patterned accents.
It's placed inside a velvet sleeve and provides a super-smooth, never-clumpy
writing experience. With customization offered, you can display a company name,
logo or messaging. It's a promotional item that is perfect for practically and
business or industry. Upgrade to a gift set with our Signature Triangle Gift
box! Buy in bulk and gift this budget-friendly item to everyone in the office!
Additional decoration charges may apply. Additional decoration charges may
apply.",,,,,12,49,5.27,,50,99,3.86,,100,249,3.63,,250,500,3.4,
zingmfg,02005-01-19,CHARCOAL,CHARCOAL,,0,,,,,,,,,,,,,,,,,,,,
zingmfg,02005-01-20,SILVER,SILVER,,0,,,,,,,,,,,,,,,,,,,,
zingmfg,02005-02,Stiletto Rollerball Pen,"Invest in this pen """"write"""" now! The Stiletto Rollerball Pen is constructed of
solid brass with diamond patterned accents. It's placed inside a velvet sleeve
and offers a super-smooth, never-clumpy writing experience. With customization
offered, you can display your company logo, name or messaging. It's a
promotional item that can be given away by practically any business or industry.
Upgrade to a gift set with our Signature Triangle Gift box! Buy in bulk and gift
this budget-friendly item to everyone in the office! Additional decoration
charges may apply. Additional decoration charges may apply.",,,,,12,49,5.9,,50,99,4.48,,100,249,4.22,,250,500,3.96,
zingmfg,02005-02-19,CHARCOAL,CHARCOAL,,0,,,,,,,,,,,,,,,,,,,,
zingmfg,02005-03,Stiletto Mechanical Pencil,"For your next marketing campaign, try out this Stiletto Mechanical Pen, a solid
brass pen with diamond patterned accents that includes a velvet storage sleeve.
Bring a writing utensil that is stylish and practical for a super smooth writing
experience. Use our signature process to design this item with your company's
logo, slogan or message. A promotional useful for new or existing customers
that's sure to stay on their minds. Buy in bulk and gift this budget-friendly
item to everyone in the office. Makes a great gift to recent graduates in math,
engineering and drafting fields. Additional decoration charges may apply.
Additional decoration charges may apply.",,,,,12,49,5.27,,50,99,3.86,,100,249,3.63,,250,500,3.4,
zingmfg,02005-03-18,WHITE,WHITE,,0,,,,,,,,,,,,,,,,,,,,
zingmfg,02007-02,Aero Rollerball Pen,"Leave a lasting impression on customers by investing in this stylish pen. Try
out this Aero Rollerball, a brass pen with a unique aerodynamic style,
mid-weight feel and velvet storage sleeve. Use its click-action function to
glide across the page with this easy-to-use writing tool. Choose from vibrant
colors sure to match your company's aesthetic. Promote with every stroke. Use
our imprint process to create a promotional item office workers, students and
faculty will love! Print your logo, slogan or message on this product and
establish your brand. Additional decoration charges may apply. Additional
decoration charges may apply.",,,,,12,49,5.27,,50,99,3.86,,100,249,3.69,,250,500,3.53,
zingmfg,02007-02-23,CHROME,CHROME,,0,,,,,,,,,,,,,,,,,,,,
zingmfg,02015-01,Slim Stylus Ballpoint,"Tap into a promotional item that will help establish your business! The Slim
Stylus Ballpoint is a solid brass ballpoint pen with touchscreen stylus and
chrome accents. For a smooth writing experience, simply twist the barrel to
reveal its ink tip so you can write your important notes, memos or lists. Its
mid-weight elegant feel is comfortable in your hand and stylus tip helps you
select/tap easier on your touch screen devices. Use our imprinting method add a
company name or logo. Bring this pen to your next marketing event in order to
wow future customers! Additional decoration charges may apply. Additional
decoration charges may apply.",,,,,12,49,5.74,,50,99,4.29,,100,249,4.09,,250,500,3.92,
