Supplier Code,Product ID #,Product Name,Product Description,Imprint Size,Color Name,Color Value,Inventory Level,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code
ETS,1052,14 oz enzo mug,14 oz stoneware: glossy color out / glossy color in,2 x 2-3/4 x 8-1/2,,,,48,71,6.99,,72,143,5.99,,144,2015,4.99,
ETS,1052,14 oz stoneware: glossy color out / glossy color in,cobalt blue,00205C,0,,,,,,,,,,,,,,,,,,,,
ETS,1053,14 oz stoneware: glossy color out / glossy color in,red,,0,,,,,,,,,,,,,,,,,,,,
ETS,1053,14 oz enzo mug,14 oz stoneware: glossy color out / glossy color in,2 x 2-3/4 x 8-1/2,,,,72,143,4.99,,144,2015,2.99,
ETS,1052,14 oz stoneware: glossy color out / glossy color in,cobalt blue,00205C,0,,,,,,,,,,,,,,,,,,,,
ETS,1053,14 oz stoneware: glossy color out / glossy color in,red,,0,,,,,,,,,,,,,,,,,,,,
ETS,108,11 oz c-handle mug,11 oz stoneware: glossy color out / glossy color in,2-3/4 x 2-3/4 x 7-3/4,,,,72,143,4.29,,144,2015,2.29,
ETS,101,11 oz ceramic mug with glossy colored exterior and glossy colored interior,white,FFFFFF,0,,,,,,,,,,,,,,,,,,,,
ETS,118,11 oz ceramic mug with glossy colored exterior and glossy colored interior,almond,DCCFA7,0,,,,,,,,,,,,,,,,,,,,
ETS,168,11 oz ceramic mug with glossy colored exterior and glossy colored interior,cardinal,8D292B,0,,,,,,,,,,,,,,,,,,,,
ETS,103,11 oz ceramic mug with glossy colored exterior and glossy colored interior,red,AA182C,0,,,,,,,,,,,,,,,,,,,,
ETS,105,11 oz ceramic mug with glossy colored exterior and glossy colored interior,orange,FF7F40,0,,,,,,,,,,,,,,,,,,,,
ETS,109,11 oz ceramic mug with glossy colored exterior and glossy colored interior,yellow,FCE200,0,,,,,,,,,,,,,,,,,,,,
ETS,119,11 oz ceramic mug with glossy colored exterior and glossy colored interior,green,153E35,0,,,,,,,,,,,,,,,,,,,,
ETS,112,11 oz ceramic mug with glossy colored exterior and glossy colored interior,cobalt blue,001E60,0,,,,,,,,,,,,,,,,,,,,
ETS,162,11 oz ceramic mug with glossy colored exterior and glossy colored interior,navy blue,011E41,0,,,,,,,,,,,,,,,,,,,,
ETS,194,11 oz ceramic mug with glossy colored exterior and glossy colored interior,storm gray,4A4F54,0,,,,,,,,,,,,,,,,,,,,
ETS,114,11 oz ceramic mug with glossy colored exterior and glossy colored interior,black,000000,0,,,,,,,,,,,,,,,,,,,,
ETS,108,11 oz stoneware: glossy color out / glossy color in,maroon,,0,,,,,,,,,,,,,,,,,,,,
ETS,109,11 oz c-handle mug,11 oz ceramic mug with glossy colored exterior and glossy colored interior,2-3/4 x 2-3/4 x 7-3/4,,,,72,143,5.79,,144,2015,3.79,
ETS,101,11 oz ceramic mug with glossy colored exterior and glossy colored interior,white,FFFFFF,97857,,,,,,,,,,,,,,,,,,,,
ETS,118,11 oz ceramic mug with glossy colored exterior and glossy colored interior,almond,DCCFA7,8751,,,,,,,,,,,,,,,,,,,,
ETS,168,11 oz ceramic mug with glossy colored exterior and glossy colored interior,cardinal,8D292B,10243,,,,,,,,,,,,,,,,,,,,
ETS,103,11 oz ceramic mug with glossy colored exterior and glossy colored interior,red,AA182C,23498,,,,,,,,,,,,,,,,,,,,
ETS,105,11 oz ceramic mug with glossy colored exterior and glossy colored interior,orange,FF7F40,10604,,,,,,,,,,,,,,,,,,,,
ETS,109,11 oz ceramic mug with glossy colored exterior and glossy colored interior,yellow,FCE200,3439,,,,,,,,,,,,,,,,,,,,
ETS,119,11 oz ceramic mug with glossy colored exterior and glossy colored interior,green,153E35,30,,,,,,,,,,,,,,,,,,,,
ETS,112,11 oz ceramic mug with glossy colored exterior and glossy colored interior,cobalt blue,001E60,6911,,,,,,,,,,,,,,,,,,,,
ETS,162,11 oz ceramic mug with glossy colored exterior and glossy colored interior,navy blue,011E41,7989,,,,,,,,,,,,,,,,,,,,
ETS,194,11 oz ceramic mug with glossy colored exterior and glossy colored interior,storm gray,4A4F54,5056,,,,,,,,,,,,,,,,,,,,
ETS,114,11 oz ceramic mug with glossy colored exterior and glossy colored interior,black,000000,3002,,,,,,,,,,,,,,,,,,,,
ETS,108,11 oz stoneware: glossy color out / glossy color in,maroon,,583,,,,,,,,,,,,,,,,,,,,
ETS,112,11 oz c-handle mug,11 oz ceramic mug with glossy colored exterior and glossy colored interior,2-3/4 x 2-3/4 x 7-3/4,,,,72,143,5.79,,144,2015,3.79,
ETS,101,11 oz ceramic mug with glossy colored exterior and glossy colored interior,white,FFFFFF,97857,,,,,,,,,,,,,,,,,,,,
ETS,118,11 oz ceramic mug with glossy colored exterior and glossy colored interior,almond,DCCFA7,8751,,,,,,,,,,,,,,,,,,,,
ETS,168,11 oz ceramic mug with glossy colored exterior and glossy colored interior,cardinal,8D292B,10243,,,,,,,,,,,,,,,,,,,,
ETS,103,11 oz ceramic mug with glossy colored exterior and glossy colored interior,red,AA182C,23498,,,,,,,,,,,,,,,,,,,,
ETS,105,11 oz ceramic mug with glossy colored exterior and glossy colored interior,orange,FF7F40,10604,,,,,,,,,,,,,,,,,,,,
ETS,109,11 oz ceramic mug with glossy colored exterior and glossy colored interior,yellow,FCE200,3439,,,,,,,,,,,,,,,,,,,,
ETS,119,11 oz ceramic mug with glossy colored exterior and glossy colored interior,green,153E35,30,,,,,,,,,,,,,,,,,,,,
ETS,112,11 oz ceramic mug with glossy colored exterior and glossy colored interior,cobalt blue,001E60,6911,,,,,,,,,,,,,,,,,,,,
ETS,162,11 oz ceramic mug with glossy colored exterior and glossy colored interior,navy blue,011E41,7989,,,,,,,,,,,,,,,,,,,,
ETS,194,11 oz ceramic mug with glossy colored exterior and glossy colored interior,storm gray,4A4F54,5056,,,,,,,,,,,,,,,,,,,,
ETS,114,11 oz ceramic mug with glossy colored exterior and glossy colored interior,black,000000,3002,,,,,,,,,,,,,,,,,,,,
ETS,108,11 oz stoneware: glossy color out / glossy color in,maroon,,583,,,,,,,,,,,,,,,,,,,,
ETS,114,11 oz c-handle mug,11 oz ceramic mug with glossy colored exterior and glossy colored interior,2-3/4 x 2-3/4 x 7-3/4,,,,72,143,5.79,,144,2015,3.79,
ETS,101,11 oz ceramic mug with glossy colored exterior and glossy colored interior,white,FFFFFF,97857,,,,,,,,,,,,,,,,,,,,
ETS,118,11 oz ceramic mug with glossy colored exterior and glossy colored interior,almond,DCCFA7,8751,,,,,,,,,,,,,,,,,,,,
ETS,168,11 oz ceramic mug with glossy colored exterior and glossy colored interior,cardinal,8D292B,10243,,,,,,,,,,,,,,,,,,,,
ETS,103,11 oz ceramic mug with glossy colored exterior and glossy colored interior,red,AA182C,23498,,,,,,,,,,,,,,,,,,,,
ETS,105,11 oz ceramic mug with glossy colored exterior and glossy colored interior,orange,FF7F40,10604,,,,,,,,,,,,,,,,,,,,
ETS,109,11 oz ceramic mug with glossy colored exterior and glossy colored interior,yellow,FCE200,3439,,,,,,,,,,,,,,,,,,,,
ETS,119,11 oz ceramic mug with glossy colored exterior and glossy colored interior,green,153E35,30,,,,,,,,,,,,,,,,,,,,
ETS,112,11 oz ceramic mug with glossy colored exterior and glossy colored interior,cobalt blue,001E60,6911,,,,,,,,,,,,,,,,,,,,
ETS,162,11 oz ceramic mug with glossy colored exterior and glossy colored interior,navy blue,011E41,7989,,,,,,,,,,,,,,,,,,,,
ETS,194,11 oz ceramic mug with glossy colored exterior and glossy colored interior,storm gray,4A4F54,5056,,,,,,,,,,,,,,,,,,,,
ETS,114,11 oz ceramic mug with glossy colored exterior and glossy colored interior,black,000000,3002,,,,,,,,,,,,,,,,,,,,
ETS,108,11 oz stoneware: glossy color out / glossy color in,maroon,,583,,,,,,,,,,,,,,,,,,,,
ETS,118,11 oz c-handle mug,11 oz ceramic mug with glossy colored exterior and glossy colored interior,2-3/4 x 2-3/4 x 7-3/4,,,,72,143,5.79,,144,2015,3.79,
ETS,101,11 oz ceramic mug with glossy colored exterior and glossy colored interior,white,FFFFFF,97857,,,,,,,,,,,,,,,,,,,,
ETS,118,11 oz ceramic mug with glossy colored exterior and glossy colored interior,almond,DCCFA7,8751,,,,,,,,,,,,,,,,,,,,
ETS,168,11 oz ceramic mug with glossy colored exterior and glossy colored interior,cardinal,8D292B,10243,,,,,,,,,,,,,,,,,,,,
ETS,103,11 oz ceramic mug with glossy colored exterior and glossy colored interior,red,AA182C,23498,,,,,,,,,,,,,,,,,,,,
ETS,105,11 oz ceramic mug with glossy colored exterior and glossy colored interior,orange,FF7F40,10604,,,,,,,,,,,,,,,,,,,,
ETS,109,11 oz ceramic mug with glossy colored exterior and glossy colored interior,yellow,FCE200,3439,,,,,,,,,,,,,,,,,,,,
ETS,119,11 oz ceramic mug with glossy colored exterior and glossy colored interior,green,153E35,30,,,,,,,,,,,,,,,,,,,,
ETS,112,11 oz ceramic mug with glossy colored exterior and glossy colored interior,cobalt blue,001E60,6911,,,,,,,,,,,,,,,,,,,,
ETS,162,11 oz ceramic mug with glossy colored exterior and glossy colored interior,navy blue,011E41,7989,,,,,,,,,,,,,,,,,,,,
ETS,194,11 oz ceramic mug with glossy colored exterior and glossy colored interior,storm gray,4A4F54,5056,,,,,,,,,,,,,,,,,,,,
ETS,114,11 oz ceramic mug with glossy colored exterior and glossy colored interior,black,000000,3002,,,,,,,,,,,,,,,,,,,,
ETS,108,11 oz stoneware: glossy color out / glossy color in,maroon,,583,,,,,,,,,,,,,,,,,,,,
ETS,119,11 oz c-handle mug,11 oz ceramic mug with glossy colored exterior and glossy colored interior,2-3/4 x 2-3/4 x 7-3/4,,,,72,143,5.79,,144,2015,3.79,
ETS,101,11 oz ceramic mug with glossy colored exterior and glossy colored interior,white,FFFFFF,97857,,,,,,,,,,,,,,,,,,,,
ETS,118,11 oz ceramic mug with glossy colored exterior and glossy colored interior,almond,DCCFA7,8751,,,,,,,,,,,,,,,,,,,,
ETS,168,11 oz ceramic mug with glossy colored exterior and glossy colored interior,cardinal,8D292B,10243,,,,,,,,,,,,,,,,,,,,
ETS,103,11 oz ceramic mug with glossy colored exterior and glossy colored interior,red,AA182C,23498,,,,,,,,,,,,,,,,,,,,
ETS,105,11 oz ceramic mug with glossy colored exterior and glossy colored interior,orange,FF7F40,10604,,,,,,,,,,,,,,,,,,,,
ETS,109,11 oz ceramic mug with glossy colored exterior and glossy colored interior,yellow,FCE200,3439,,,,,,,,,,,,,,,,,,,,
ETS,119,11 oz ceramic mug with glossy colored exterior and glossy colored interior,green,153E35,30,,,,,,,,,,,,,,,,,,,,
ETS,112,11 oz ceramic mug with glossy colored exterior and glossy colored interior,cobalt blue,001E60,6911,,,,,,,,,,,,,,,,,,,,
ETS,162,11 oz ceramic mug with glossy colored exterior and glossy colored interior,navy blue,011E41,7989,,,,,,,,,,,,,,,,,,,,
ETS,194,11 oz ceramic mug with glossy colored exterior and glossy colored interior,storm gray,4A4F54,5056,,,,,,,,,,,,,,,,,,,,
ETS,114,11 oz ceramic mug with glossy colored exterior and glossy colored interior,black,000000,3002,,,,,,,,,,,,,,,,,,,,
ETS,108,11 oz stoneware: glossy color out / glossy color in,maroon,,583,,,,,,,,,,,,,,,,,,,,
ETS,1201,10 oz diner mug,10 oz ceramic mug with glossy colored exterior and glossy colored interior,2-1/4 x 2-1/4 per side,,,,48,71,7.49,,72,143,6.49,,144,2015,5.49,
ETS,127,10 oz ceramic mug with glossy colored exterior and glossy colored interior,natural,E2D8C2,28571,,,,,,,,,,,,,,,,,,,,
ETS,1201,10 oz ceramic mug with glossy colored exterior and glossy colored interior,white,FFFFFF,17976,,,,,,,,,,,,,,,,,,,,
ETS,1214,10 oz ceramic mug with glossy colored exterior and glossy colored interior,black,000000,7354,,,,,,,,,,,,,,,,,,,,
ETS,1214,10 oz diner mug,10 oz ceramic mug with glossy colored exterior and glossy colored interior,2-1/4 x 2-1/4 per side,,,,48,71,7.49,,72,143,6.49,,144,2015,5.49,
ETS,127,10 oz ceramic mug with glossy colored exterior and glossy colored interior,natural,E2D8C2,28571,,,,,,,,,,,,,,,,,,,,
ETS,1201,10 oz ceramic mug with glossy colored exterior and glossy colored interior,white,FFFFFF,17976,,,,,,,,,,,,,,,,,,,,
ETS,1214,10 oz ceramic mug with glossy colored exterior and glossy colored interior,black,000000,7354,,,,,,,,,,,,,,,,,,,,
ETS,12441,12 oz c-handle mug,12 oz ceramic mug with matte colored exterior and glossy colored interior,2-3/4 x 2-3/4 x 7-3/4,,,,72,143,6.49,,144,2015,4.49,
ETS,12441,12 oz ceramic mug with matte colored exterior and glossy colored interior,matte black,000000,49942,,,,,,,,,,,,,,,,,,,,
ETS,127,10 oz diner mug,10 oz ceramic mug with glossy colored exterior and glossy colored interior,2-1/4 x 2-1/4 per side,,,,48,71,7.49,,72,143,6.49,,144,2015,5.49,
ETS,127,10 oz ceramic mug with glossy colored exterior and glossy colored interior,natural,E2D8C2,28571,,,,,,,,,,,,,,,,,,,,
ETS,1201,10 oz ceramic mug with glossy colored exterior and glossy colored interior,white,FFFFFF,17976,,,,,,,,,,,,,,,,,,,,
