Supplier Code,Product ID #,Product Name,Product Description,Imprint Size,Color Name,Color Value,Inventory Level,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code
HIT,10005,Medium Wedge Award,Made of Crystal.,,,,,3,5,137.56,C,6,24,119.62,C,25,49,104.02,C,50,100,90.45,C
HIT,10005CLR,CLEAR,CLEAR,FFFFFF,0,,,,,,,,,,,,,,,,,,,,
HIT,10008,Large Cube Award,Made of Optic Crystal.,,,,,3,5,129.69,C,6,24,112.77,C,25,49,98.06,C,50,99,85.27,C,100,200,74.15,C
HIT,10008CLR,CLEAR,CLEAR,FFFFFF,0,,,,,,,,,,,,,,,,,,,,
HIT,10009,Medium Glass Award,Made of Glass.,,,,,3,5,134.88,C,6,49,117.29,C,50,24,88.69,C,25,50,101.99,C
HIT,10009JAD,JADE,JADE,04a7a2,0,,,,,,,,,,,,,,,,,,,,
HIT,1001,5 Panel Polyester Cap,"100% Polyester. 5 Panel, Medium Profile. Unstructured Crown & Pre-Curved Visor. Adjustable Self-Material Strap With Hook And Loop Closure.",,,,,2500,999,4.19,C,1000,499,4.82,C,500,199,5.54,C,200,2499,6.37,C,2500,999,5.05,C
HIT,1001BLK,BLACK,BLACK,000000,25031,,,,,,,,,,,,,,,,,,,,
HIT,1001KHL,LIGHT KHAKI,LIGHT KHAKI,F5E4D7,8144,,,,,,,,,,,,,,,,,,,,
HIT,1001NAV,NAVY BLUE,NAVY BLUE,041E42,11237,,,,,,,,,,,,,,,,,,,,
HIT,1001RED,RED,RED,C8102E,4988,,,,,,,,,,,,,,,,,,,,
HIT,1001ROY,ROYAL BLUE,ROYAL BLUE,4169e1,1628,,,,,,,,,,,,,,,,,,,,
HIT,1001WHT,WHITE,WHITE,FFFFFF,14780,,,,,,,,,,,,,,,,,,,,
HIT,10012,Medium Chisel Tower Award,Made of Lucite Acrylic. Reflective Base.,,,,,3,5,144.53,C,6,24,125.68,C,25,50,109.29,C
HIT,10012BLU,BLUE,BLUE,0047BB,0,,,,,,,,,,,,,,,,,,,,
HIT,10012GLD,GOLD,GOLD,FFB404,0,,,,,,,,,,,,,,,,,,,,
HIT,10013,Large Chisel Tower Award,Made of Lucite Acrylic. Reflective Base.,,,,,3,5,182.45,C,6,12,158.65,C
HIT,10013BLU,BLUE,BLUE,0047BB,0,,,,,,,,,,,,,,,,,,,,
HIT,10013GLD,GOLD,GOLD,FFB404,0,,,,,,,,,,,,,,,,,,,,
HIT,10014,MEDIUM TABLET AWARD,Made of Clear Lucite Acrylic.,,,,,3,5,80.55,C,6,24,70.04,C,25,49,60.9,C,50,99,52.96,C,100,200,46.05,C
HIT,10014CUS,CUSTOM,CUSTOM,FFFFFF,0,,,,,,,,,,,,,,,,,,,,
HIT,10014RIB,RIBBON,RIBBON,a5abaf,0,,,,,,,,,,,,,,,,,,,,
HIT,10015,SMALL FREESTANDING BLOCK AWARD,Made of Lucite Acrylic.,,,,,6,24,38.32,C,25,49,33.32,C,50,99,28.97,C,100,2,25.19,C,3,6,44.07,C
HIT,10015DIGI,CLEAR,CLEAR,FFFFFF,0,,,,,,,,,,,,,,,,,,,,
HIT,10016,Medium Freestanding Block Award,Made of Lucite Acrylic.,,,,,3,5,59.44,C,6,24,51.69,C,25,49,44.95,C,50,99,39.09,C,100,200,33.99,C
HIT,10016CLR,CLEAR,CLEAR,FFFFFF,0,,,,,,,,,,,,,,,,,,,,
HIT,10017,SILVER WALL PLAQUE,Made Of Black Plastic Backer with Silver Swirl and Black Aluminum Plate.,,,,,3,5,120.08,C,6,24,104.42,C,25,50,90.8,C
HIT,10017SIL,SILVER,SILVER,8A8D8F,0,,,,,,,,,,,,,,,,,,,,
