Supplier Code,Product ID #,Product Name,Product Description,Imprint Size,Color Name,Color Value,Inventory Level,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code
Spector,BB106,Make it pop duffle kit,Prepare your thrill seekers for their next spirit of adventure .,,,,,30,60,26.99,C
Spector,00BB1060BLK,Prepare your thrill seekers for their next spirit of adventure .,Black,#2D2926,0,,,,,,,,,,,,,,,,,,,,
Spector,00BB1060BLU,Prepare your thrill seekers for their next spirit of adventure .,Blue,#1E22AA,0,,,,,,,,,,,,,,,,,,,,
Spector,00BB1060ORG,Prepare your thrill seekers for their next spirit of adventure .,Orange,#FF9E1B,0,,,,,,,,,,,,,,,,,,,,
Spector,00BB1060RED,Prepare your thrill seekers for their next spirit of adventure .,Red,#BA0C2F,0,,,,,,,,,,,,,,,,,,,,
Spector,BB107,Make it pop resort pack (room drop),Make sure you provide your guests with their getaway essentials with the backpack kit,,,,,30,47,35,C,48,149,34,C,150,249,32.5,C,250,499,31.75,C,500,1000,30.5,C
Spector,00BB1070BLK,Make sure you provide your guests with their getaway essentials with the backpack kit,Black,#2D2926,0,,,,,,,,,,,,,,,,,,,,
Spector,00BB1070BLU,Make sure you provide your guests with their getaway essentials with the backpack kit,Blue,#1E22AA,869,,,,,,,,,,,,,,,,,,,,
Spector,00BB1070ORG,Make sure you provide your guests with their getaway essentials with the backpack kit,Orange,#FF9E1B,0,,,,,,,,,,,,,,,,,,,,
Spector,00BB1070RED,Make sure you provide your guests with their getaway essentials with the backpack kit,Red,#BA0C2F,2264,,,,,,,,,,,,,,,,,,,,
Spector,BB108,Business smart neoskin brief bundle,Provide conference registration incentives.,,,,,25,49,42.25,C,50,114,41,C,115,219,39.2,C,220,349,37,C,350,700,35.9,C
Spector,00BB1080BLK,Provide conference registration incentives.,Black,#2D2926,0,,,,,,,,,,,,,,,,,,,,
Spector,BB110,Business smart neoskin dual pocket backpack bundle,Promote school pride with a student orientation gift set .,,,,,25,49,53.7,C,50,99,52.35,C,100,174,48.55,C,175,299,47.55,C,300,600,45.55,C
Spector,00BB1100CHL,Promote school pride with a student orientation gift set .,Charcoal,#6F6E6D,0,,,,,,,,,,,,,,,,,,,,
Spector,BB111,Classic revival donald drawstring kit,Welcome new hires with corporate branded products .,,,,,25,49,45.5,C,50,99,41.75,C,100,199,40.5,C,200,299,39,C,300,600,37.5,C
Spector,00BB1110BLK,Welcome new hires with corporate branded products .,Black,#2D2926,0,,,,,,,,,,,,,,,,,,,,
Spector,00BB1110BLU,Welcome new hires with corporate branded products .,Blue,#003594,12,,,,,,,,,,,,,,,,,,,,
Spector,00BB1110GRN,Welcome new hires with corporate branded products .,Green,#8F993E,0,,,,,,,,,,,,,,,,,,,,
Spector,00BB1110ORG,Welcome new hires with corporate branded products .,Orange,#FF6900,1191,,,,,,,,,,,,,,,,,,,,
Spector,00BB1110RED,Welcome new hires with corporate branded products .,Red,#BA0C2F,80,,,,,,,,,,,,,,,,,,,,
Spector,BB112,Classic revival neoskin backpack kit,Welcome new hires with corporate branded products .,,,,,10,19,91.25,C,20,59,89.75,C,60,89,85,C,90,124,81,C,125,250,79,C
Spector,00BB1120CHL,Welcome new hires with corporate branded products .,Charcoal,#6F6E6D,2268,,,,,,,,,,,,,,,,,,,,
Spector,BB113,Classic revival neoskin tote bundle,Reward high performers and demonstrate employee appreciation .,,,,,12,29,78.65,C,30,74,77.65,C,75,99,71.65,C,100,174,68.4,C,175,350,67.45,C
Spector,00BB1130BLK,Reward high performers and demonstrate employee appreciation .,Black,#2D2926,0,,,,,,,,,,,,,,,,,,,,
Spector,BB114,Classic revival fabrizio brief kit,Reward high performers and demonstrate employee appreciation.,,,,,10,19,100,C,20,44,98.5,C,45,74,95.75,C,75,149,90.75,C,150,300,86,C
Spector,00BB1140BRN,Reward high performers and demonstrate employee appreciation.,Brown,#73381D,56,,,,,,,,,,,,,,,,,,,,
Spector,BB115,Classic revival toscano duffle kit,Reward high performers and demonstrate employee appreciation .,,,,,8,19,148.75,C,20,34,145.5,C,35,54,142.25,C,55,89,137.75,C,90,180,129.5,C
Spector,00BB1150BLK,Reward high performers and demonstrate employee appreciation .,Black,#2D2926,2681,,,,,,,,,,,,,,,,,,,,
Spector,BB130,Beast gear step it up kit,"Kit includes bg109 beast gear -backpack with sling front, t307 dino - earbud kit and hw104 step -montre sport watch/pedometer.",,,,,12,24,49,C
Spector,00BB1300BLK,"Kit includes bg109 beast gear -backpack with sling front, t307 dino - earbud kit and hw104 step -montre sport watch/pedometer.",Black,#2D2926,0,,,,,,,,,,,,,,,,,,,,
Spector,00BB1300BLU,"Kit includes bg109 beast gear -backpack with sling front, t307 dino - earbud kit and hw104 step -montre sport watch/pedometer.",Blue,#0033A0,0,,,,,,,,,,,,,,,,,,,,
Spector,00BB1300GRN,"Kit includes bg109 beast gear -backpack with sling front, t307 dino - earbud kit and hw104 step -montre sport watch/pedometer.",Green,#97D700,0,,,,,,,,,,,,,,,,,,,,
Spector,00BB1300ORG,"Kit includes bg109 beast gear -backpack with sling front, t307 dino - earbud kit and hw104 step -montre sport watch/pedometer.",Orange,#E87722,0,,,,,,,,,,,,,,,,,,,,
Spector,00BB1300RED,"Kit includes bg109 beast gear -backpack with sling front, t307 dino - earbud kit and hw104 step -montre sport watch/pedometer.",Red,#BA0C2F,0,,,,,,,,,,,,,,,,,,,,
Spector,00BB1300WHT,"Kit includes bg109 beast gear -backpack with sling front, t307 dino - earbud kit and hw104 step -montre sport watch/pedometer.",White,#FFF,0,,,,,,,,,,,,,,,,,,,,
Spector,BB134,Call of the wild travel bundle,Call of the wild - travel bundle.,,,,,10,24,95.75,C,25,49,94.65,C,50,74,88,C,75,149,82.55,C,150,300,81.45,C
Spector,00BB1340BLK,Call of the wild - travel bundle.,Black,#2D2926,0,,,,,,,,,,,,,,,,,,,,
Spector,00BB1340GRN,Call of the wild - travel bundle.,Green,#5B6236,0,,,,,,,,,,,,,,,,,,,,
Spector,BB143,eco must- haves,"Kit includes:
<br/>
bgr104 nomad must haves renew flip-top backpack
<br/>
dw319 top notch natural
<br/> 
ec3011 nature hard cover journal & pen combo
<br/>
ec1010 kane ballpoint pen",,,,,12,24,104.5,C,25,49,100.75,C,50,99,94.75,C,100,174,91.25,C,175,350,86.75,C
Spector,00BB1430BLK,"Kit includes:
<br/>
bgr104 nomad must haves renew flip-top backpack
<br/>
dw319 top notch natural
<br/> 
ec3011 nature hard cover journal & pen combo
<br/>
ec1010 kane ballpoint pen",Black,#2D2926,0,,,,,,,,,,,,,,,,,,,,
Spector,00BB1430NVY,"Kit includes:
<br/>
bgr104 nomad must haves renew flip-top backpack
<br/>
dw319 top notch natural
<br/> 
ec3011 nature hard cover journal & pen combo
<br/>
ec1010 kane ballpoint pen",Navy blue,No value,0,,,,,,,,,,,,,,,,,,,,
Spector,00BB1430RED,"Kit includes:
<br/>
bgr104 nomad must haves renew flip-top backpack
<br/>
dw319 top notch natural
<br/> 
ec3011 nature hard cover journal & pen combo
<br/>
ec1010 kane ballpoint pen",Red,No value,0,,,,,,,,,,,,,,,,,,,,
