Supplier Code,Product ID #,Product Name,Product Description,Imprint Size,Color Name,Color Value,Inventory Level,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code
stormcreek,1560-NY-3XL,Sightseer Long Sleeve-3XL,Navy - NY,,35,,,,,,,,,,,,,,,,,,,,
stormcreek,1560-NY-4XL,Sightseer Long Sleeve - 4XL-4XL,Navy - NY,,309,,,,,,,,,,,,,,,,,,,,
stormcreek,1560-PRB-S,Sightseer Long Sleeve-S,Peri Blue - PRB,,347,,,,,,,,,,,,,,,,,,,,
stormcreek,1560-PRB-M,Sightseer Long Sleeve-M,Peri Blue - PRB,,0,,,,,,,,,,,,,,,,,,,,
stormcreek,1560-PRB-L,Sightseer Long Sleeve-L,Peri Blue - PRB,,232,,,,,,,,,,,,,,,,,,,,
stormcreek,1560-PRB-XL,Sightseer Long Sleeve-XL,Peri Blue - PRB,,151,,,,,,,,,,,,,,,,,,,,
stormcreek,1560-PRB-2XL,Sightseer Long Sleeve-2XL,Peri Blue - PRB,,135,,,,,,,,,,,,,,,,,,,,
stormcreek,1560-PRB-3XL,Sightseer Long Sleeve-3XL,Peri Blue - PRB,,128,,,,,,,,,,,,,,,,,,,,
stormcreek,1560-PRB-4XL,Sightseer Long Sleeve - 4XL-4XL,Peri Blue - PRB,,90,,,,,,,,,,,,,,,,,,,,
stormcreek,1560-PRB-5XL,Sightseer Long Sleeve - 4XL-5XL,Peri Blue - PRB,,172,,,,,,,,,,,,,,,,,,,,
stormcreek,1560-PRB-LT,Sightseer Long Sleeve - 4XL-LT,Peri Blue - PRB,,196,,,,,,,,,,,,,,,,,,,,
stormcreek,1560-PRB-XLT,Sightseer Long Sleeve - 4XL-XLT,Peri Blue - PRB,,87,,,,,,,,,,,,,,,,,,,,
stormcreek,1560-PRB-2XLT,Sightseer Long Sleeve - 4XL-2XLT,Peri Blue - PRB,,168,,,,,,,,,,,,,,,,,,,,
stormcreek,1560-PRB-3XLT,Sightseer Long Sleeve - 4XL-3XLT,Peri Blue - PRB,,101,,,,,,,,,,,,,,,,,,,,
stormcreek,1560-BK-S,Sightseer Long Sleeve-S,Black - BK,,58,,,,,,,,,,,,,,,,,,,,
stormcreek,1560-BK-M,Sightseer Long Sleeve-M,Black - BK,,66,,,,,,,,,,,,,,,,,,,,
stormcreek,1560-BK-L,Sightseer Long Sleeve-L,Black - BK,,26,,,,,,,,,,,,,,,,,,,,
stormcreek,1560-BK-XL,Sightseer Long Sleeve-XL,Black - BK,,77,,,,,,,,,,,,,,,,,,,,
stormcreek,1560-BK-2XL,Sightseer Long Sleeve-2XL,Black - BK,,93,,,,,,,,,,,,,,,,,,,,
stormcreek,1560-BK-3XL,Sightseer Long Sleeve-3XL,Black - BK,,66,,,,,,,,,,,,,,,,,,,,
stormcreek,1560-BK-4XL,Sightseer Long Sleeve - 4XL-4XL,Black - BK,,45,,,,,,,,,,,,,,,,,,,,
stormcreek,1560-WH-S,Sightseer Long Sleeve-S,White - WH,,34,,,,,,,,,,,,,,,,,,,,
stormcreek,1560-WH-M,Sightseer Long Sleeve-M,White - WH,,33,,,,,,,,,,,,,,,,,,,,
stormcreek,1560-WH-L,Sightseer Long Sleeve-L,White - WH,,35,,,,,,,,,,,,,,,,,,,,
stormcreek,1560-WH-XL,Sightseer Long Sleeve-XL,White - WH,,33,,,,,,,,,,,,,,,,,,,,
stormcreek,1560-WH-2XL,Sightseer Long Sleeve-2XL,White - WH,,18,,,,,,,,,,,,,,,,,,,,
stormcreek,1560-WH-3XL,Sightseer Long Sleeve-3XL,White - WH,,28,,,,,,,,,,,,,,,,,,,,
stormcreek,1560-WH-4XL,Sightseer Long Sleeve - 4XL-4XL,White - WH,,35,,,,,,,,,,,,,,,,,,,,
stormcreek,1560-MEL-S,Sightseer Long Sleeve-S,Melon Orange - MEL,,35,,,,,,,,,,,,,,,,,,,,
stormcreek,1560-MEL-M,Sightseer Long Sleeve-M,Melon Orange - MEL,,33,,,,,,,,,,,,,,,,,,,,
stormcreek,1560-MEL-L,Sightseer Long Sleeve-L,Melon Orange - MEL,,36,,,,,,,,,,,,,,,,,,,,
stormcreek,1560-MEL-XL,Sightseer Long Sleeve-XL,Melon Orange - MEL,,35,,,,,,,,,,,,,,,,,,,,
stormcreek,1560-MEL-2XL,Sightseer Long Sleeve-2XL,Melon Orange - MEL,,0,,,,,,,,,,,,,,,,,,,,
stormcreek,1560-MEL-3XL,Sightseer Long Sleeve-3XL,Melon Orange - MEL,,0,,,,,,,,,,,,,,,,,,,,
stormcreek,1560-MEL-4XL,Sightseer Long Sleeve - 4XL-4XL,Melon Orange - MEL,,0,,,,,,,,,,,,,,,,,,,,
stormcreek,1560-MNT-S,Sightseer Long Sleeve-S,Mint Green - MNT,,0,,,,,,,,,,,,,,,,,,,,
stormcreek,1560-MNT-M,Sightseer Long Sleeve-M,Mint Green - MNT,,0,,,,,,,,,,,,,,,,,,,,
stormcreek,1560-MNT-L,Sightseer Long Sleeve-L,Mint Green - MNT,,0,,,,,,,,,,,,,,,,,,,,
stormcreek,1560-MNT-XL,Sightseer Long Sleeve-XL,Mint Green - MNT,,0,,,,,,,,,,,,,,,,,,,,
stormcreek,1560-MNT-2XL,Sightseer Long Sleeve-2XL,Mint Green - MNT,,0,,,,,,,,,,,,,,,,,,,,
stormcreek,1560-MNT-3XL,Sightseer Long Sleeve-3XL,Mint Green - MNT,,0,,,,,,,,,,,,,,,,,,,,
stormcreek,1560-MNT-4XL,Sightseer Long Sleeve - 4XL-4XL,Mint Green - MNT,,0,,,,,,,,,,,,,,,,,,,,
stormcreek,1565,Sightseer Long Sleeve T-Shirt,Meet our most versatile shirt yet. Warm Day and need sun protection? Cool day and need an extra layer? Check and check. Subtle pinstripes lend style. Colors to make you pop or blend in.,NA,,,,0,0,15,
stormcreek,1565-CIT-XS,Sightseer Long Sleeve-XS,Citrus Yellow - CIT,,37,,,,,,,,,,,,,,,,,,,,
stormcreek,1565-CIT-S,Sightseer Long Sleeve-S,Citrus Yellow - CIT,,26,,,,,,,,,,,,,,,,,,,,
stormcreek,1565-CIT-M,Sightseer Long Sleeve-M,Citrus Yellow - CIT,,51,,,,,,,,,,,,,,,,,,,,
stormcreek,1565-CIT-L,Sightseer Long Sleeve-L,Citrus Yellow - CIT,,57,,,,,,,,,,,,,,,,,,,,
stormcreek,1565-CIT-XL,Sightseer Long Sleeve-XL,Citrus Yellow - CIT,,12,,,,,,,,,,,,,,,,,,,,
stormcreek,1565-CIT-2XL,Sightseer Long Sleeve-2XL,Citrus Yellow - CIT,,-4,,,,,,,,,,,,,,,,,,,,
stormcreek,1565-CIT-3XL,Sightseer Long Sleeve-3XL,Citrus Yellow - CIT,,-1,,,,,,,,,,,,,,,,,,,,
stormcreek,1565-DH-XS,Sightseer Long Sleeve-XS,Dark Heather Gray - DH,,10,,,,,,,,,,,,,,,,,,,,
stormcreek,1565-DH-S,Sightseer Long Sleeve-S,Dark Heather Gray - DH,,75,,,,,,,,,,,,,,,,,,,,
stormcreek,1565-DH-M,Sightseer Long Sleeve-M,Dark Heather Gray - DH,,82,,,,,,,,,,,,,,,,,,,,
stormcreek,1565-DH-L,Sightseer Long Sleeve-L,Dark Heather Gray - DH,,83,,,,,,,,,,,,,,,,,,,,
stormcreek,1565-DH-XL,Sightseer Long Sleeve-XL,Dark Heather Gray - DH,,132,,,,,,,,,,,,,,,,,,,,
stormcreek,1565-DH-2XL,Sightseer Long Sleeve-2XL,Dark Heather Gray - DH,,119,,,,,,,,,,,,,,,,,,,,
stormcreek,1565-DH-3XL,Sightseer Long Sleeve-3XL,Dark Heather Gray - DH,,26,,,,,,,,,,,,,,,,,,,,
stormcreek,1565-GLB-XS,Sightseer Long Sleeve-XS,Glacier Blue - GLB,,34,,,,,,,,,,,,,,,,,,,,
stormcreek,1565-GLB-S,Sightseer Long Sleeve-S,Glacier Blue - GLB,,54,,,,,,,,,,,,,,,,,,,,
stormcreek,1565-GLB-M,Sightseer Long Sleeve-M,Glacier Blue - GLB,,72,,,,,,,,,,,,,,,,,,,,
stormcreek,1565-GLB-L,Sightseer Long Sleeve-L,Glacier Blue - GLB,,55,,,,,,,,,,,,,,,,,,,,
stormcreek,1565-GLB-XL,Sightseer Long Sleeve-XL,Glacier Blue - GLB,,81,,,,,,,,,,,,,,,,,,,,
stormcreek,1565-GLB-2XL,Sightseer Long Sleeve-2XL,Glacier Blue - GLB,,149,,,,,,,,,,,,,,,,,,,,
stormcreek,1565-GLB-3XL,Sightseer Long Sleeve-3XL,Glacier Blue - GLB,,172,,,,,,,,,,,,,,,,,,,,
stormcreek,1565-NY-XS,Sightseer Long Sleeve-XS,Navy - NY,,45,,,,,,,,,,,,,,,,,,,,
stormcreek,1565-NY-S,Sightseer Long Sleeve-S,Navy - NY,,48,,,,,,,,,,,,,,,,,,,,
stormcreek,1565-NY-M,Sightseer Long Sleeve-M,Navy - NY,,68,,,,,,,,,,,,,,,,,,,,
stormcreek,1565-NY-L,Sightseer Long Sleeve-L,Navy - NY,,0,,,,,,,,,,,,,,,,,,,,
stormcreek,1565-NY-XL,Sightseer Long Sleeve-XL,Navy - NY,,146,,,,,,,,,,,,,,,,,,,,
stormcreek,1565-NY-2XL,Sightseer Long Sleeve-2XL,Navy - NY,,-1,,,,,,,,,,,,,,,,,,,,
stormcreek,1565-NY-3XL,Sightseer Long Sleeve-3XL,Navy - NY,,115,,,,,,,,,,,,,,,,,,,,
stormcreek,1565-BK-XS,Sightseer Long Sleeve-XS,Black - BK,,119,,,,,,,,,,,,,,,,,,,,
stormcreek,1565-BK-S,Sightseer Long Sleeve-S,Black - BK,,87,,,,,,,,,,,,,,,,,,,,
stormcreek,1565-BK-M,Sightseer Long Sleeve-M,Black - BK,,49,,,,,,,,,,,,,,,,,,,,
stormcreek,1565-BK-L,Sightseer Long Sleeve-L,Black - BK,,79,,,,,,,,,,,,,,,,,,,,
stormcreek,1565-BK-XL,Sightseer Long Sleeve-XL,Black - BK,,0,,,,,,,,,,,,,,,,,,,,
stormcreek,1565-BK-2XL,Sightseer Long Sleeve-2XL,Black - BK,,79,,,,,,,,,,,,,,,,,,,,
stormcreek,1565-BK-3XL,Sightseer Long Sleeve-3XL,Black - BK,,12,,,,,,,,,,,,,,,,,,,,
stormcreek,1565-WH-XS,Sightseer Long Sleeve-XS,White - WH,,57,,,,,,,,,,,,,,,,,,,,
stormcreek,1565-WH-S,Sightseer Long Sleeve-S,White - WH,,89,,,,,,,,,,,,,,,,,,,,
stormcreek,1565-WH-M,Sightseer Long Sleeve-M,White - WH,,31,,,,,,,,,,,,,,,,,,,,
stormcreek,1565-WH-L,Sightseer Long Sleeve-L,White - WH,,66,,,,,,,,,,,,,,,,,,,,
stormcreek,1565-WH-XL,Sightseer Long Sleeve-XL,White - WH,,30,,,,,,,,,,,,,,,,,,,,
stormcreek,1565-WH-2XL,Sightseer Long Sleeve-2XL,White - WH,,20,,,,,,,,,,,,,,,,,,,,
stormcreek,1565-WH-3XL,Sightseer Long Sleeve-3XL,White - WH,,46,,,,,,,,,,,,,,,,,,,,
stormcreek,1565-MEL-XS,Sightseer Long Sleeve-XS,Melon Orange - MEL,,118,,,,,,,,,,,,,,,,,,,,
stormcreek,1565-MEL-S,Sightseer Long Sleeve-S,Melon Orange - MEL,,48,,,,,,,,,,,,,,,,,,,,
stormcreek,1565-MEL-M,Sightseer Long Sleeve-M,Melon Orange - MEL,,52,,,,,,,,,,,,,,,,,,,,
stormcreek,1565-MEL-L,Sightseer Long Sleeve-L,Melon Orange - MEL,,60,,,,,,,,,,,,,,,,,,,,
stormcreek,1565-MEL-XL,Sightseer Long Sleeve-XL,Melon Orange - MEL,,32,,,,,,,,,,,,,,,,,,,,
stormcreek,1565-MEL-2XL,Sightseer Long Sleeve-2XL,Melon Orange - MEL,,53,,,,,,,,,,,,,,,,,,,,
stormcreek,1565-MEL-3XL,Sightseer Long Sleeve-3XL,Melon Orange - MEL,,31,,,,,,,,,,,,,,,,,,,,
stormcreek,1565-VLT-XS,Sightseer Long Sleeve-XS,Violet Purple - VLT,,54,,,,,,,,,,,,,,,,,,,,
stormcreek,1565-VLT-S,Sightseer Long Sleeve-S,Violet Purple - VLT,,27,,,,,,,,,,,,,,,,,,,,
stormcreek,1565-VLT-M,Sightseer Long Sleeve-M,Violet Purple - VLT,,52,,,,,,,,,,,,,,,,,,,,
stormcreek,1565-VLT-L,Sightseer Long Sleeve-L,Violet Purple - VLT,,31,,,,,,,,,,,,,,,,,,,,
stormcreek,1565-VLT-XL,Sightseer Long Sleeve-XL,Violet Purple - VLT,,35,,,,,,,,,,,,,,,,,,,,
stormcreek,1565-VLT-2XL,Sightseer Long Sleeve-2XL,Violet Purple - VLT,,36,,,,,,,,,,,,,,,,,,,,
stormcreek,1565-VLT-3XL,Sightseer Long Sleeve-3XL,Violet Purple - VLT,,25,,,,,,,,,,,,,,,,,,,,
stormcreek,1570,Sightseer Long Sleeve Hoodie,Long Sleeve Lightweight Hoodie,NA,,,,0,0,20,
stormcreek,1570-DH-S,Sightseer Long Sleeve Hoodie-S,Dark Heather Gray - DH,,25,,,,,,,,,,,,,,,,,,,,
stormcreek,1570-DH-M,Sightseer Long Sleeve Hoodie-M,Dark Heather Gray - DH,,1,,,,,,,,,,,,,,,,,,,,
stormcreek,1570-DH-L,Sightseer Long Sleeve Hoodie-L,Dark Heather Gray - DH,,33,,,,,,,,,,,,,,,,,,,,
stormcreek,1570-DH-XL,Sightseer Long Sleeve Hoodie-XL,Dark Heather Gray - DH,,52,,,,,,,,,,,,,,,,,,,,
stormcreek,1570-DH-2XL,Sightseer Long Sleeve Hoodie-2XL,Dark Heather Gray - DH,,0,,,,,,,,,,,,,,,,,,,,
stormcreek,1570-DH-3XL,Sightseer Long Sleeve Hoodie-3XL,Dark Heather Gray - DH,,134,,,,,,,,,,,,,,,,,,,,
stormcreek,1570-DH-4XL,Sightseer Long Sleeve Hoodie - 4XL-4XL,Dark Heather Gray - DH,,37,,,,,,,,,,,,,,,,,,,,
stormcreek,1570-WH-S,Sightseer Long Sleeve Hoodie-S,White - WH,,57,,,,,,,,,,,,,,,,,,,,
